kode_prov,nama_prov,kode_cab,nama_cab,kode_kec,nama_kec,kode_kel,nama_kel,kode_tps,nama_tps,sumPartai,sumPartaiVotesAndCaleg,selisih,partai
35,JAWA TIMUR,3521,NGAWI,352118,GERIH,3521182002,WIDODAREN,3521182002004,TPS 004,62,2821,2759,PDIP
35,JAWA TIMUR,3518,NGANJUK,351804,LOCERET,3518042005,NGEPEH,3518042005014,TPS 014,9,2814,2805,Gerindra
32,JAWA BARAT,3206,TASIKMALAYA,320605,CIKATOMAS,3206052009,LINGGALAKSANA,3206052009010,TPS 010,51,2793,2742,PKB
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515042007,KESAMBI,3515042007008,TPS 008,20,2784,2764,PDIP
35,JAWA TIMUR,3518,NGANJUK,351804,LOCERET,3518042005,NGEPEH,3518042005014,TPS 014,11,2779,2768,PDIP
11,ACEH,1104,ACEH TENGAH,110418,ATU LINTANG,1104182010,DAMAR MULYO,1104182010003,TPS 003,17,2759,2742,Golkar
71,SULAWESI UTARA,7111,BOLAANG MONGONDOW SELATAN,711104,PINOLOSIAN TENGAH,7111042003,TOROSIK,7111042003001,TPS 001,1,2748,2747,PKB
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,1,2678,2677,Hanura
35,JAWA TIMUR,3507,MALANG,350701,DONOMULYO,3507012006,DONOMULYO,3507012006003,TPS 003,8,2674,2666,PKS
35,JAWA TIMUR,3578,KOTA SURABAYA,357810,TAMBAKSARI,3578101004,PACARKEMBANG,3578101004109,TPS 109,6,2666,2660,PERINDO
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,36,2662,2626,PAN
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,0,2648,2648,PBB
35,JAWA TIMUR,3507,MALANG,350701,DONOMULYO,3507012006,DONOMULYO,3507012006003,TPS 003,1,2628,2627,Partai Garuda
35,JAWA TIMUR,3507,MALANG,350701,DONOMULYO,3507012006,DONOMULYO,3507012006003,TPS 003,1,2619,2618,PPP
53,NUSA TENGGARA TIMUR,5307,SIKKA,530718,HEWOKLOANG,5307182001,RUBIT,5307182001002,TPS 002,0,2600,2600,Hanura
33,JAWA TENGAH,3376,KOTA TEGAL,337603,TEGAL SELATAN,3376031008,RANDUGUNTING,3376031008027,TPS 027,2,2594,2592,Partai Gelora
11,ACEH,1104,ACEH TENGAH,110418,ATU LINTANG,1104182010,DAMAR MULYO,1104182010003,TPS 003,22,2593,2571,PDIP
35,JAWA TIMUR,3521,NGAWI,352113,MANTINGAN,3521132001,SAMBIREJO,3521132001916,TPS 916,1,2585,2584,PSI
32,JAWA BARAT,3215,KARAWANG,321510,PEDES,3215102012,JATIMULYA,3215102012022,TPS 022,0,2568,2568,Nasdem
32,JAWA BARAT,3203,CIANJUR,320332,PASIRKUDA,3203322003,PUSAKAJAYA,3203322003012,TPS 012,17,2546,2529,PKB
11,ACEH,1104,ACEH TENGAH,110418,ATU LINTANG,1104182010,DAMAR MULYO,1104182010003,TPS 003,2,2508,2506,Partai Gelora
